company,sub_industry,type_company,location,url_page_details
‎Hexagon-Infosoft-Solutions-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Ahmedabad / Gujarat 
	- 380054
",https://www.fundoodata.com/companies-detail/‎Hexagon-Infosoft-Solutions-Pvt-Ltd/115328.html?&pageno=1
(n)Code-Solutions-(GNFC)," IT Software , QA -Testing, IT- Network Admin , Database , Datacenter , Security
"," Industry Top
"," Ahmedabad / Gujarat 
	- 380054
",https://www.fundoodata.com/companies-detail/(n)Code-Solutions-(GNFC)/81198.html?&pageno=2
01Synergy," IT Software , QA -Testing
"," MNC
"," Ludhiana / Punjab 
	- 141001
",https://www.fundoodata.com/companies-detail/01Synergy/124869.html?&pageno=3
,,,,
1-Vinayak-InfoSoft," IT Software , QA -Testing
"," SMEs
"," Ahmedabad / Gujarat 
	- 380002
",https://www.fundoodata.com/companies-detail/1-Vinayak-InfoSoft/124920.html?&pageno=4
1010-Logic-Technology-Solutions," IT Software , QA -Testing
"," SMEs
"," Chennai / Tamil Nadu 
	- 600040
",https://www.fundoodata.com/companies-detail/1010-Logic-Technology-Solutions/147041.html?&pageno=5
10kInfo-Data-Solutions-Pvt-Ltd," IT- Consulting
"," SMEs
"," Bangalore / Bengaluru / Karnataka 
	- 560027
",https://www.fundoodata.com/companies-detail/10kInfo-Data-Solutions-Pvt-Ltd/113987.html?&pageno=6
121-Outsource-India-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Bangalore / Bengaluru / Karnataka 
	- 560102
",https://www.fundoodata.com/companies-detail/121-Outsource-India-Pvt-Ltd/155046.html?&pageno=7
123Coimbatore," IT- Embedded ,  EDA , VLSI
"," SMEs
"," Coimbatore / Tamil Nadu 
	- 641037
",https://www.fundoodata.com/companies-detail/123Coimbatore/147673.html?&pageno=8
18th-Technology," IT Software , QA -Testing
"," SMEs
"," Noida / Uttar Pradesh 
	- 201301
",https://www.fundoodata.com/companies-detail/18th-Technology/115554.html?&pageno=9
1E-Infosystems," IT Software , QA -Testing
"," MNC
"," Noida / Uttar Pradesh 
	- 201305
",https://www.fundoodata.com/companies-detail/1E-Infosystems/86247.html?&pageno=10
1ICT-India-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Gurgaon/Gurugram / Haryana 
	- 122003
",https://www.fundoodata.com/companies-detail/1ICT-India-Pvt-Ltd/147040.html?&pageno=11
1Mobility-India-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Pune / Maharashtra 
	- 411014
",https://www.fundoodata.com/companies-detail/1Mobility-India-Pvt-Ltd/126942.html?&pageno=12
2020-Imaging-India-Ltd," IT Software , QA -Testing
"," MNC
"," Mumbai / Maharashtra 
	- 400604
",https://www.fundoodata.com/companies-detail/2020-Imaging-India-Ltd/127629.html?&pageno=13
21-Century-Web," IT Software , QA -Testing
"," SMEs
"," Nagpur / Maharashtra 
	- 440001
",https://www.fundoodata.com/companies-detail/21-Century-Web/108655.html?&pageno=14
