company,address,location_phones,web_company
Hexagon Infosoft Solutions Pvt Ltd,"  Address - C-902, Titanium Square Thaltej Cross Road, S.G. Highway     Ahmedabad Gujarat , 3  80054  (079) 65444310",,www.hexagoninfosoft.com
(n)Code Solutions (GNFC),"  Address - 403, 4th Floor GNFC				  				  Infotower Bodakdev","				        Ahmedabad	                Gujarat , 380054	 (079) 40007390  40007300",www.ncodesolutions.com
01Synergy,"  Address - Kartar Bhawan,IIIrd Floor,Ferozpur Road				        Ludhiana	                Punjab , 141001	 (0161) 4344000",www.01synergy.com,
1 Vinayak InfoSoft,"  Address - 331, New Cloth Market				  				  O/s Raipur Gate Sarangpur","				        Ahmedabad	                Gujarat , 380002	 (079) 22174870  9426360578",www.vinayakinfosoft.com
1010 Logic Technology Solutions,"  Address - Rose Apartments, Z187, 7th St, Z Block				  				  Anna Nagar","				        Chennai	                Tamil Nadu , 600040	 (044) 43517128",1010logic.com
10kInfo Data Solutions Pvt Ltd,"  Address - 93 KH Road, 3rd floor				  				  TKN Building","				        Bangalore / Bengaluru	                Karnataka , 560027	 (080) 49022100",www.10kinfo.com
121 Outsource India Pvt Ltd,"  Address - 255 Royal Heights, 2nd Floor, 17th Cross, Sector-6				        Bangalore / Bengaluru	                Karnataka , 560102	 (080) 7204045121",www.121outsource.com,
123Coimbatore,"  Address - No 79 Aiswarya complex,Nethaji Road				  				  PN Palayam,","				        Coimbatore	                Tamil Nadu , 641037	 (0422) 8220000100",www.webdesign.123coimbatore.com
18th Technology,"  Address - E-4, Udyog Marg,				  				  Sector-8","				        Noida	                Uttar Pradesh , 201301	 (0120) 4107133",www.18thtechnology.com
1E Infosystems,  Address - 1 E 10 th Floor Tower A Advant Navis				  				  Business Park Plot No 7 Sec 142,"				        Noida	                Uttar Pradesh , 201305	 (0120) 4024000",www.1e.com
1ICT India Pvt Ltd,"  Address - Unit-102, Veritas Tower, 1st FloorGolf Course Road				        Gurgaon/Gurugram	                Haryana , 122003	 (0124) 6544416",www.1ict.com.au,
1Mobility India Pvt Ltd,"  Address - 301 Sai Apex, Viman Nagar				        Pune	                Maharashtra , 411014	 (020) 41241100",www.1mobility.com,
2020 Imaging India Ltd,"  Address - 304, Infotech IT Park				  				  Wagle Estate, MIDC, Thane West","				        Mumbai	                Maharashtra , 400604	 (022) 39693880",www.2020imaging.com
21 Century Web,"  Address - Gala 15, Software Technology park				  				  Link Road, Sadar,","				        Nagpur	                Maharashtra , 440001	 (0712) 2543006",www.21centuryweb.com
21st Century Software Solutions Pvt Ltd,"  Address - 50-102-8/3, North Extension Layout				  				  Seethammadhara","				        Visakhapatnam	                Andhra Pradesh , 530013	 (0891) 6959666  2728543",www.21cssindia.com
22by7 Solution Pvt Ltd,"  Address - 35/1, 24th Main, J.P. Nagar				  				  7th Phase","				        Bangalore / Bengaluru	                Karnataka , 560078	 (080) 26633033  26635155",22by7.in
247 Computing Services Pvt Ltd ( Futurenet ),  Address - No-37 1st Street Singaravelan Nagar				  				  Maduravoyal,"				        Chennai	                Tamil Nadu , 600095	 (044) 23870000  9840029099",www.247c.in
2Base Technologies,"  Address - 2nd Floor, A & P Complex , Stadium Bypass Road				        Palakkad	                Kerala , 678001	 (0491) 2548036",www.2basetechnologies.com,
2Daybiz.com,"  Address - No.1, 2nd Vaniyar Street,				  				  Lucky Golden Complex 1 st floor,","				        Chennai	                Tamil Nadu , 600056	 (044) 9790033633",www.2daybiz.com
3 Steps Design Studio Pvt Ltd,"  Address - New No-2, Basmati Complex, Balaji Nagar				  				  Siddhapudur","				        Coimbatore	                Tamil Nadu , 641044	 (0422) 4200109  9789501919",
32bytes.Net,"  Address - 8, Ho Chi Minh Sarani,				  				  1st Floor, Suite #24A","				        Kolkata	                West Bengal , 700071	 (033) 22804634  9831150235",www.32bytes.net
360 Degree Cloud Technologies Pvt Ltd,"  Address - SCO  11-12, Second Floor, Sector 16				        Faridabad	                Haryana , 121002	 (0129) 4050116",,
